standardized_smiles,Standard Value
CC(C)(C)CN1CCC(c2ccccc2Oc2ncccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,99.9
CC(C)(C)CN1CCc2c(cccc2Oc2ncccc2NC(=O)Nc2ccc(OC(F)(F)F)cc2)C1,100.0
CC(C)(C)c1cc(C(=O)Nc2nc(CN)cs2)n(Cc2ccccc2)n1,94.0
CC(C)(C)c1cc(NC(=O)NC23CC4CC(CC(C4)C2)C3)no1,99.8
CC(C)(C)c1cc(NC(=O)NC2C3CC4CC(C3)CC2C4)no1,95.2
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2nccnc2NCCO)cc1,98.4
CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,99.1
CC(C)(C)c1ccccc1Oc1ncccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1,99.3
CC(C)(C)c1ncc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,63.0
CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CC[C@@H]4C[C@@]43C(N)=O)nc1CC2,91.3
CC(C)(CC(=O)NC1CC1)CC(=O)N[C@H]1C2CC3CC1C[C@](C(N)=O)(C3)C2,20.0
CC(C)(CC(=O)NC1CC1)CC(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2,40.0
CC(C)(CO)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,63.9
CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,98.4
CC(C)(O)C1CC2(CC(NC(=O)c3cnc4nc(C5CC5)ccc4c3)C2)C1,86.0
CC(C)(O)C1CCN(Cc2ccc3nc(-c4c(F)ccc5[nH]ccc45)nc(N4CCOCC4)c3n2)CC1,86.0
CC(C)(O)[C@H]1CC2(C[C@H](NC(=O)c3cnc4nc(C5CC5)ccc4c3)C2)C1,86.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(C4CC4)ncc3c2)CC1,84.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(N4CC(F)C4)ncc3c2)CC1,73.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(N4CCC4)ncc3c2)CC1,79.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(OC(F)F)ccc3c2)CC1,88.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)CC1,80.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ncc3c2)CC1,64.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(N4CCC4)ccc3c2)CC1,80.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(N4CCC4)ncc3c2)CC1,54.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3cc(C4CC4)ncc3c2)C1,76.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3nc(C4CC4)c(Cl)cc3c2)C1,88.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)C1,74.0
CC(C)(O)[C@]12C[C@@](NC(=O)c3cnc4nc(C5CC5)ccc4c3)(C1)C2,69.0
CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1C3,6.0
CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,91.5
CC(C)C(=O)N1CCC(NC(=O)Nc2ccc(C(F)(F)F)cc2)CC1,85.0
CC(C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,89.0
CC(C)CC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,93.0
CC(C)CN1CCC(COc2ccc(NC(=O)Nc3cccnc3Oc3ccccc3C(C)(C)C)c(F)c2)CC1,99.7
CC(C)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,82.3
CC(C)CO.CC(C)O.CCCCCOc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)no2)cc1.CCO.NC(=O)CCO.O.O.O.O.O.O.O.O.O=S(=O)(O)Oc1cc([C@H](O)CO)ccc1O,99.0
CC(C)CO.CC(C)O.CCCCCOc1ccc(-c2ccc(-c3ccc(C(N)=O)cc3)cc2)cc1.CCO.CCO.O.O.O.O.O.O.O.O.OC[C@@H](O)c1ccc(O)cc1,99.0
CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(Br)s1,99.0
CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(C(F)(F)F)o1,97.0
CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)NC(C)C)c1ccc(F)cc1F,93.0
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],65.0
CC(C)Cc1ccc([C@@H](C)C(=O)NCCCN(C)C)cc1,75.1
CC(C)Cc1ccc([C@@H](C)C(=O)NCCCN2CCCCC2)cc1,85.1
CC(C)Cc1ccc([C@@H](C)C(=O)NCCOCCO)cc1,83.1
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,99.9
CC(C)Cc1ccc([C@@H](C)C(=O)N[C@H](C)C(=O)O)cc1,96.0
CC(C)Cc1sc(N)nc1-c1ccc(P(=O)(O)O)o1,93.0
CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,95.0
CC(C)N(C)Cc1nccn1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,95.8
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,50.0
CC(C)N1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1=O,97.8
CC(C)N1CCN(C(=O)c2ccc(CN3CCOCC3)cc2)CC1,12.4
CC(C)N1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)CC1,99.0
CC(C)N1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(S(F)(F)(F)(F)F)cc3)cc2)CC1,99.92
CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3cc(F)cc(F)c3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,96.3
CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,94.7
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,7.0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,17.5
CC(C)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,75.0
CC(C)O.CCCO.CCC[C@@H](C)CC.CCO.NC=O.NCCCO.NCCN.O.O.O.O.O.O.O.OC[C@@H](O)c1ccc(O)cc1,96.0
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,82.0
CC(C)Oc1ccc(Cl)c(C2CC(=O)C(Sc3cc(O)ccc3C#N)=C(O)C2)c1Cl,99.9
CC(C)[C@H](CO)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,74.4
CC(C)[C@]1(C)CC(=O)N(Cc2cc(F)cc(C(=O)N[C@@H](C)c3ccccc3)c2)C(=N)N1,94.2
CC(C)c1cc(C(=O)N2CC[C@@H](NC(=O)C3CC3)C2)[nH]n1,44.0
CC(C)c1cc(C(C)(C)C)cc(-c2ccc(F)cc2)c1CO,90.0
CC(C)c1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,99.7
CC(C)c1ccc(NC(=O)c2cccs2)c(-c2nc3ccccc3[nH]c2=O)c1,99.6
CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)CCC[C@]21C,94.8
CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,94.3
CC(C)c1nnc(NC(=O)NC23CC4CC(CC(C4)C2)C3)o1,99.3
CC(C)c1nnc(NC(=O)NC2C3CC4CC(C3)CC2C4)o1,98.0
CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NC[C@@H](O)CO)nc21,94.6
CC(CCNC(=O)c1c(Cl)cncc1Cl)N1CCC(N(Cc2cccc(C#N)c2)c2ccc(OC(F)(F)F)cc2)CC1,99.9
CC(CCNC(=O)c1c(Cl)cncc1Cl)N1CCC(N(Cc2ccccc2)c2ccc(Oc3ccc(C(=O)O)cc3)cc2)CC1,99.9
CC(Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1)C(=O)O,70.2
CC(N[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)CC1)C(F)F,82.0
CC(Oc1cc2oc(=O)n(CCC(=O)O)c2cc1Cl)c1ccccn1,81.7
CC1(C)CC(c2ccc(OC3CCN(C4CCC4)CC3)cc2)=NNC1=O,50.0
CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,98.1
CC1(C)Cc2c(sc(NC(=O)Nc3ccc(Cl)cc3)c2C(N)=O)C(C)(C)N1,96.5
CC1(C)Oc2cc(-c3cccc(OC(F)(F)F)c3)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21,99.5
CC1(C)Oc2cc(C#Cc3cc(Cl)ccc3F)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21,95.5
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)CC[C@]1(C)N,48.0
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)N,97.0
CC1=C(C(N)=O)C(c2ccc(C(C)C)cc2)n2nc(SCc3ccccc3)nc2N1,98.7
CC1=C(C(N)=O)C(c2ccc(N(C)C)cc2)n2nc(SCc3ccc(C#N)cc3)nc2N1,96.8
CC1=C(C(N)=O)C(c2ccc(N(C)C)cc2)n2nc(SCc3ccc([N+](=O)[O-])cc3)nc2N1,99.9
CC1=C(C(N)=O)C(c2ccc(N(C)C)cc2)n2nc(SCc3ccccc3)nc2N1,97.6
CC1=C(C(N)=O)C(c2ccc(OC(C)C)cc2)n2nc(SCc3ccccc3)nc2N1,99.9
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,94.0
CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O,74.0
CC1C(NC(=O)Nc2ccc(F)c(F)c2F)CC2CC1C2(C)C,99.2
CC1CCCCC1C(=O)N1CC(c2nc(-c3cccc(F)c3)no2)C1,96.6
CC1Cc2cc(S(=O)(=O)c3ccc4c(c3)OCCO4)ccc2N1S(C)(=O)=O,92.5
CCC(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,79.0
CCC(C)(C)C(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,95.0
CCC(C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c2ccccc21,99.0
CCC(CC)Nc1nc(C)c(-c2ccc(OC(F)(F)F)cc2OC)nc1OC,99.2
CCC(CC)[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,57.9
CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,93.2
CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,97.7
CCC(O)(CC)CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,33.0
CCCC(=O)N(C)c1cccc(NC(=O)c2ccccc2Br)c1,98.0
CCCC(=O)Nc1cccc(N(C)C(=O)c2ccccc2Br)c1,89.0
CCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,97.0
CCCC(=O)Nc1cccc(NCc2ccccc2Br)c1,99.0
CCCC(CCC)OCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,91.0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,98.0
CCCCCC(=O)OC([C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1cccc(Cl)c1)S(=O)(=O)[O-],100.0
CCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,81.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,96.0
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,98.4
CCCCNc1cccc(NC(=O)c2ccccc2Br)c1,97.0
CCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O,67.3
CCCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,10.0
CCCCc1cc(C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCN(C(=O)OCC)CC2)nc(-c2ccccc2)n1,99.3
CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1,98.2
CCCCc1cc(S(F)(F)(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,99.92
CCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,96.7
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,98.0
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,91.8
CCCN1CCC(c2nc3cccc(C(N)=O)c3[nH]2)CC1,57.0
CCCNC(=O)N1[C@H](C#N)[C@H](c2ccc(-c3ccc(C(F)(F)F)c(C(F)(F)F)c3)cc2)[C@H]1CO,99.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,96.0
CCCNC(=O)c1c(NC(=O)C23CC4CC(CC(C4)C2)C3)sc2c1CCOC2,99.0
CCCNC(=O)c1c(NC(=O)C23CC4CC(CC2C4)C3)sc2c1CCNC2,99.0
CCCNC(=O)c1c(NC(=O)C23CC4CC(CC2C4)C3)sc2c1CCOC2,98.0
CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,81.5
CCCNc1cc(C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCN(C(=O)OCC)CC2)nc(-c2ccccc2)n1,98.5
CCCOc1cccc(CCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)c1,68.0
CCCS(=O)(=O)N1CCN(C2(CNC(=O)c3c(F)cccc3F)CCC(F)(F)CC2)CC1,87.0
CCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O,40.3
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCN(S(=O)(=O)CC)CC2)c2ccccc12,98.0
CCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,93.5
CCCn1nc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1C,99.0
CCCn1nc(NC(=O)NC2C3CC4CC(C3)CC2C4)cc1C,98.9
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,92.0
CCN(C)Cc1nccn1-c1ccc(N2CCC(NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,93.8
CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl,99.0
CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(F)cccc1F,97.0
CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1ncccc1Cl,85.0
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,13.0
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,41.9
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,87.0
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc([125I])cc32)c1C,5.0
CCN(CC)CCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,96.7
CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(C)(C)C=N1,63.0
CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2,66.0
CCN1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1=O,98.9
CCN1CC(c2nc(C(=O)NCc3ccc(F)cc3S(C)(=O)=O)c(O)c3ncccc23)CC1=O,96.0
CCN1CCC[C@@H]1CNC(=O)c1ccc2c(c1)NC(=O)/C(=C/c1ccccc1F)S2,97.98
CCN1CCc2c(sc(NC(=O)Nc3ccc(Cl)cc3)c2C(N)=O)C1,95.9
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)C(C)(C)OC3=O)cc1,98.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,77.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CCO)OC3)cc1,78.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)C(C)(C)OC3)cc1,86.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CC(C)(C)O)OC3)cc1,66.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CCO)OC3)cc1,86.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,82.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CCN(C)C)OC3)cc1,59.0
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CCO)OC3)cc1,87.0
CCNC(=O)Nc1ccc(-c2nc(N3C[C@H]4CC[C@@H](C3)O4)c3c(n2)[C@](C)(CCO)OC3)cc1,73.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CCN(c2ncccn2)C3)cc1,98.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2nc(C)ns2)C3)cc1,97.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2ncccn2)C3)cc1,98.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CN(c2cnccn2)CC3)cc1,97.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CN(c2ncccn2)CC3)cc1,98.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C(=O)COC)cc1,73.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C(C)=O)cc1,84.0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)C[C@@H]2CC[C@H]3N2C2COC2)cc1,85.0
